,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
32,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,7K5dzhGda2vRTaAWYI3hrb,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0114,0.632,215414,0.701,0.0,7,0.108,-5.921,1,0.146,162.958,4,0.497
33,Broccoli (feat. Lil Yachty),DRAM,7yyRTcZmCiyzzJlNzGC9Ol,"['pop rap', 'rap', 'trap']",2016,1,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
34,Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC,"['pop', 'pop rap', 'rap', 'trap']",2016,1,0.222,0.765,198293,0.356,0.0,11,0.0963,-5.556,0,0.196,97.001,4,0.19
35,Dangerous Woman,Ariana Grande,2h1IPjP471JJRSShTHRUhi,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0612,0.677,235947,0.604,0.0,7,0.353,-5.32,1,0.0385,134.052,3,0.297
36,Jumpman,Drake,46gjYTEK7W8ZTABcglGP2f,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,1,0.0462,0.853,205879,0.558,0.0,1,0.341,-7.448,1,0.202,142.079,4,0.654
37,"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,['pop'],2016,1,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
38,Here,Alessia Cara,664gdARxaClFsoF5SXKOws,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2016,1,0.0785,0.376,199453,0.821,0.0,0,0.0823,-3.974,1,0.104,120.462,4,0.331
39,Same Old Love,Selena Gomez,6ZANrVuAMp2rpjhfbOuJly,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0223,0.672,229080,0.593,0.0,11,0.214,-4.01,0,0.0304,98.02,4,0.438
40,Controlla,Drake,6F609ICg9Spjrw1epsAnpa,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,1,0.0773,0.607,245227,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,5,0.347
41,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",2016,1,0.4,0.63,225053,0.53,0.0,0,0.177,-7.259,1,0.0434,108.038,3,0.417
42,One Call Away,Charlie Puth,37R0bQOQj5a7DOqh1TGzvB,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.403,0.667,194453,0.613,0.0,1,0.115,-5.353,1,0.0344,91.024,4,0.47
43,Let It Go,James Bay,3nnG7AM9QopHVPEuLX3Khk,"['neo mellow', 'pop', 'pop rock']",2016,1,0.818,0.546,260533,0.311,1.65e-05,1,0.107,-10.396,1,0.0288,147.464,4,0.246
44,NO,Meghan Trainor,3ge54HUrk1ht3EX5SMhIzZ,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",2016,1,0.0125,0.471,213507,0.802,1.45e-06,1,0.702,-3.599,0,0.27,88.615,4,0.653
45,Never Forget You,Zara Larsson,6WLS56xiRrXjSm9RSdL3zD,"['dance pop', 'edm', 'pop', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']",2016,1,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276
46,Let Me Love You,DJ Snake,4pdPtRcBmOSQDlJ3Fk945m,"['dance pop', 'edm', 'electronic trap', 'pop']",2016,1,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
47,Don't Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ,"['miami hip hop', 'viral trap']",2016,1,0.0235,0.464,198237,0.771,0.0,8,0.063,-4.503,1,0.336,158.777,4,0.69
48,H.O.L.Y.,Florida Georgia Line,6chK7QlDILELjoh0I98KpW,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2016,1,0.379,0.526,194187,0.675,0.0,7,0.0727,-3.989,0,0.0339,78.0,4,0.537
49,We Don't Talk Anymore,Charlie Puth,06KyNuuMOX1ROXRhj787tj,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.621,0.728,217707,0.563,0.0,1,0.179,-8.053,0,0.134,100.017,4,0.352
50,Into You,Ariana Grande,7yHEDfrJNd0zWOfXwydNH0,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358
51,Gold,Kiiara,6ZSO7kPn8IMJFymyticbJO,"['dance pop', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'post-teen pop']",2016,1,0.615,0.6,225882,0.412,0.0025,8,0.134,-9.343,1,0.344,113.049,5,0.408
52,Exchange,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN,"['pop', 'pop rap', 'rap', 'trap']",2016,1,0.108,0.53,194613,0.433,0.0,6,0.135,-10.598,1,0.185,160.14,4,0.274
53,679 (feat. Remy Boyz),Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.00256,0.618,196693,0.717,0.0,7,0.625,-5.738,1,0.318,190.05,4,0.603
54,oui,Jeremih,4sw7dHjD6EsGs0d57AHgdy,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2016,1,0.203,0.41,238320,0.726,0.0,5,0.107,-3.845,1,0.15,77.226,5,0.552
55,Hands To Myself,Selena Gomez,3CJvmtWw2bJsudbAC5uCQk,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0147,0.811,200680,0.499,2.44e-06,5,0.342,-7.161,0,0.118,111.016,4,0.466
56,2 Phones,Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.157,0.895,240000,0.681,0.0,7,0.189,-5.267,0,0.358,121.918,4,0.554
57,Starboy,The Weeknd,5aAx2yezTd8zXrkmtKl66Z,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,1,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
58,For Free,DJ Khaled,0lDBERpbbSfh3og8dSszfj,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2016,1,0.0173,0.916,183695,0.571,1.11e-06,10,0.153,-8.241,0,0.2,103.521,4,0.498
59,Never Be Like You,Flume,15O20RQyWJgKrkHID9ynT9,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",2016,1,0.441,0.443,233337,0.558,0.0,0,0.163,-5.436,1,0.0624,116.838,4,0.248
60,In The Night,The Weeknd,7fPHfBCyKE3aVCBjE4DAvl,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,1,0.0696,0.48,235653,0.682,0.0,7,0.0463,-4.94,1,0.13,167.939,3,0.506
61,Me Too,Meghan Trainor,1m4dXbkplvaOO4Wbdjbwxs,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",2016,1,0.0963,0.934,181240,0.694,1.21e-06,11,0.479,-5.849,0,0.1,123.822,4,0.835
62,Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH,[],2016,1,0.0183,0.612,202173,0.921,0.0,7,0.0576,-2.879,1,0.0848,139.986,4,0.453
63,Die A Happy Man,Thomas Rhett,6uTb5oNK9RkTjxmh73W7MG,"['contemporary country', 'country', 'country road', 'modern country rock']",2016,1,0.418,0.595,227427,0.389,1.39e-06,2,0.116,-9.245,1,0.0349,166.052,4,0.4
64,White Iverson,Post Malone,1Bi5t0q9j3nYXIZuZgSGvr,"['dfw rap', 'melodic rap', 'rap']",2016,1,0.221,0.677,256533,0.577,0.0,7,0.0776,-7.671,1,0.0355,130.05,4,0.329
65,Close,Nick Jonas,2wJhFcye5iiW2mVBpGednz,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.253,0.653,234213,0.623,0.0,6,0.144,-5.273,0,0.082,123.999,4,0.401
66,Unsteady,X Ambassadors,6cSsWi1c3ewIEmbqdUWsUM,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']",2016,1,0.175,0.376,193546,0.662,0.000691,0,0.203,-6.124,1,0.057,107.209,4,0.236
67,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2016,1,0.255,0.502,243491,0.786,0.0,9,0.65,-4.378,0,0.317,169.021,4,0.739
68,Down In the DM (feat. Nicki Minaj) - Remix,Yo Gotti,5w1vhNA2OEWUQ371QzyMmM,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.00243,0.791,259072,0.634,5.43e-05,1,0.0812,-7.684,0,0.0639,152.961,4,0.323
69,LUV,Tory Lanez,5eG6cZTO4G5hFcnjyGR1ao,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2016,1,0.0118,0.688,228640,0.541,0.0,11,0.123,-8.128,0,0.114,95.109,4,0.247
70,Can't Feel My Face,The Weeknd,6RsWqX8zABZLhZydXxEFOm,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,1,0.124,0.702,213520,0.77,0.0,9,0.103,-5.416,0,0.0482,107.951,4,0.593
71,Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,"['permanent wave', 'pop']",2016,1,0.255,0.49,258827,0.743,7.21e-06,0,0.3,-5.155,0,0.0409,89.974,4,0.363
72,Say It,Tory Lanez,70WRVxQNMSM0BvhqxcYj0J,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2016,1,0.0834,0.384,237787,0.517,1.41e-05,4,0.129,-10.574,0,0.0708,107.262,4,0.229
73,Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq,['rap'],2016,1,0.00767,0.713,262693,0.526,0.000148,1,0.124,-5.046,1,0.032,131.05,4,0.131
74,Lost Boy,Ruth B.,4h0zU3O9R5xzuTmNO7dNDU,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.965,0.71,275280,0.0565,0.0,7,0.0889,-15.099,1,0.0534,123.994,4,0.348
75,Side To Side,Ariana Grande,4pLwZjInHj3SimIyN9SnOz,"['dance pop', 'pop', 'post-teen pop']",2016,1,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603
76,"Sit Still, Look Pretty",Daya,0Mlm5SrNK34Jqn8Rk1Gs3g,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",2016,1,0.141,0.657,202221,0.739,0.0,2,0.178,-4.081,1,0.274,181.994,4,0.543
77,Middle,DJ Snake,4OZEu0Vwq0RB2LAq14v99n,"['dance pop', 'edm', 'electronic trap', 'pop']",2016,1,0.0199,0.611,220573,0.7,0.0,9,0.0549,-5.331,1,0.0436,104.981,4,0.213
78,On My Mind,Ellie Goulding,5a7NdkF09AfD0H607eiOkX,"['dance pop', 'edm', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",2016,1,0.258,0.702,213445,0.705,5.93e-06,0,0.0879,-6.666,1,0.0543,154.911,4,0.743
79,Pop Style,Drake,1snt6FNtZASSQrJuS9serg,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,1,0.187,0.791,209453,0.49,1.95e-06,11,0.104,-9.05,1,0.242,133.085,4,0.0499
80,When We Were Young,Adele,7IWkJwX9C0J7tHurTD7ViL,"['british soul', 'pop', 'uk pop']",2016,1,0.348,0.381,290907,0.594,0.0,3,0.0925,-5.97,1,0.0486,143.86,4,0.273
81,Hide Away,Daya,6QzJcnl5cvlDHVrx9mhE99,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",2016,1,0.225,0.885,192376,0.801,1.65e-06,11,0.0733,-4.716,0,0.0882,95.011,4,0.466
82,Lean On (feat. MØ & DJ Snake),Major Lazer,4WjH9Bzt3kx7z8kl0awxh4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",2016,1,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274
83,I Know What You Did Last Summer,Shawn Mendes,7crplFzt7spG80NCbpmuCp,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.123,0.657,223827,0.769,0.0,9,0.245,-4.591,0,0.115,113.966,4,0.712
84,All The Way Up,Fat Joe,61QSuw5VlC0LTS8WMO356g,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2016,1,0.062,0.536,191942,0.721,0.0,10,0.824,-6.44,0,0.386,117.139,5,0.393
